カテゴリ,管理番号,施設名,郵便番号,所在地,法人・団体名,開設年月日,有効開始日,有効終了日
店舗販売業,41057-350,株式会社　近江兄弟社,523-8515,近江八幡市魚屋町元２９,株式会社　近江兄弟社,,2024-01-01,2029-12-31
店舗販売業,41070-350,平和堂薬品　アル・プラザ近江八幡,523-0893,近江八幡市桜宮町２０２－１　アルプラザ近江八幡１階内,株式会社平和堂,,2024-01-01,2029-12-31
店舗販売業,41181-350,鳥居薬品,523-0013,近江八幡市長光寺町２１,,,2022-01-01,2027-12-31
店舗販売業,41184-350,株式会社日吉,523-0821,近江八幡市多賀町３７２－２,株式会社日吉,,2022-01-01,2027-12-31
店舗販売業,41202-350,ドラッグユタカ安土店,521-1311,近江八幡市安土町下豊浦４７０５－１,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
店舗販売業,41206-350,有限会社八幡健康プラザ,523-0061,近江八幡市江頭町４６２－１,有限会社八幡健康プラザ,,2022-01-01,2027-12-31
店舗販売業,41230-350,ドラッグユタカ近江八幡店,523-0893,近江八幡市桜宮町２００－９,株式会社ユタカファーマシー,,2022-01-01,2027-12-31
店舗販売業,41237-350,ドラッグユタカ竜王店,520-2552,蒲生郡竜王町小口１６６４－１,株式会社ユタカファーマシー,,2023-01-01,2028-12-31
店舗販売業,41276-350,日野薬品工業株式会社,529-1642,蒲生郡日野町上野田１１９,日野薬品工業株式会社,,2024-01-01,2029-12-31
店舗販売業,41315-350,蒲生ドラッグ,529-1537,東近江市市子殿町１３８６,株式会社レークケア,,2025-01-01,2030-12-31
店舗販売業,41320-350,堀井百薬堂,523-0057,近江八幡市田中江町２３８,,,2025-01-01,2030-12-31
店舗販売業,41325-350,ソムリエの薬剤師がやってるお店です。,523-0061,近江八幡市江頭町４４８－３,株式会社日本飲兵衛薬剤師機構,,2025-01-01,2030-12-31
店舗販売業,41330-350,スギドラッグ　八日市店,527-0025,東近江市八日市東本町６－４８,株式会社スギ薬局,,2026-01-01,2031-12-31
店舗販売業,41335-350,クスリのアオキ東近江幸町店,527-0031,東近江市幸町１－８,株式会社クスリのアオキ,,2026-01-01,2031-12-31
店舗販売業,41339-350,平和堂薬品　フレンドマート日野店,529-1601,蒲生郡日野町松尾８４４－１０,株式会社平和堂,,2026-01-01,2031-12-31
