許可番号,法人・団体名,施設名,業種,許可申請年月日,許可開始年月日,許可満了年月日,条件
100618-01,株式会社かねよ,かねよ,飲食店営業,2024/02/13,2024/03/01,2031/02/28,
100630-01,,喫茶　こがねむし,飲食店営業,2026/02/17,2026/03/01,2032/02/29,
100653-01,,かな,飲食店営業,2026/02/09,2026/03/01,2032/02/29,
100662-01,株式会社風月堂商事,レストラン風月,飲食店営業,2024/02/13,2024/03/01,2031/02/28,
100662-11,株式会社風月堂商事,レストラン風月,菓子製造業,2024/02/13,2024/03/01,2031/02/28,申請のあった取扱品目の製造に限る
100665-01,スギ商事株式会社,開運そば,飲食店営業,2021/02/04,2021/03/01,2027/02/28,
100670-01,比叡山自動車道株式会社,夢見が丘,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
100691-02,有限会社西田豆腐店,西田豆腐店,菓子製造業,2021/01/28,2021/03/01,2027/02/28,申請のあった取扱品目の製造に限る
100691-26,有限会社西田豆腐店,西田豆腐店,豆腐製造業,2021/01/28,2021/03/01,2027/02/28,申請のあった取扱品目の製造に限る
100698-11,株式会社大忠堂,大忠堂,菓子製造業,2023/02/07,2023/03/01,2029/02/28,申請のあった取扱品目の製造に限る
100772-01,有限会社モーム,モーム,飲食店営業,2026/02/06,2026/03/01,2032/02/29,
100801-01,,スナックプチハウス,飲食店営業,2021/02/05,2021/03/01,2027/02/28,
100849-01,,スナックゆき,飲食店営業,2026/01/19,2026/03/01,2032/02/29,
101008-16,株式会社阪本屋,阪本屋,水産製品製造業,2023/06/26,2023/07/13,2030/02/28,申請のあった取扱品目の製造に限る
101053-01,株式会社タニムメ水産,タニムメ水産,飲食店営業,2020/08/25,2020/08/27,2027/02/28,
101053-07,株式会社タニムメ水産,タニムメ水産,魚介類販売業,2021/02/15,2021/03/01,2027/02/28,
101053-17,株式会社タニムメ水産,タニムメ水産,食肉販売業,2021/02/15,2021/03/01,2027/02/28,獣畜のとさつ・解体をしないこと
101053-29,株式会社タニムメ水産,タニムメ水産,そうざい製造業,2021/02/15,2021/03/01,2027/02/28,申請のあった取扱品目の製造に限る
101059-01,,サモワール,飲食店営業,2022/02/10,2022/03/01,2028/02/29,
101064-04,株式会社鮮魚卸山本,鮮魚卸山本,魚介類販売業,2023/02/14,2023/03/01,2029/02/28,
101069-01,,田中川魚店,飲食店営業,2022/02/21,2022/03/01,2028/02/29,
101069-04,,田中川魚店,魚介類販売業,2022/02/21,2022/03/01,2028/02/29,
101115-07,株式会社オカモト水産,オカモト水産,魚介類販売業,2021/02/24,2021/03/01,2027/02/28,
101115-17,株式会社オカモト水産,オカモト水産,食肉販売業,2021/02/24,2021/03/01,2027/02/28,とさつ・解体をしないこと
101115-29,株式会社オカモト水産,オカモト水産,そうざい製造業,2021/02/24,2021/03/01,2027/02/28,申請のあった取扱品目の製造に限る
101120-07,有限会社丸二食品,丸二食品,魚介類販売業,2021/02/01,2021/03/01,2027/02/28,
101120-01,有限会社丸二食品,丸二食品,飲食店営業,2024/02/13,2024/03/01,2030/02/28,
101169-01,,豆信,飲食店営業,2025/02/06,2025/03/01,2031/02/28,
101173-01,,千石鮓,飲食店営業,2026/02/16,2026/03/01,2031/02/28,
101251-11,有限会社かのこ,（有）かのこ,菓子製造業,2022/02/07,2022/03/01,2028/02/29,申請のあった取扱品目の製造に限る
101257-13,有限会社佐野製餡所,佐野製餡所,あん類製造業,2021/01/26,2021/03/01,2027/02/28,申請のあった取扱品目の製造に限る
101303-01,,大津屋,飲食店営業,2026/02/06,2026/03/01,2032/02/29,
101303-04,,大津屋,魚介類販売業,2026/02/06,2026/03/01,2032/02/29,
101307-25,,中村食料品店,そうざい製造業,2025/02/06,2025/03/01,2031/02/28,申請のあった取扱品目の製造に限る
101363-01,,トミヒロ,飲食店営業,2021/02/01,2021/03/01,2027/02/28,
101439-21,有限会社平井商店,有限会社平井商店,酒類製造業,2026/02/17,2026/03/01,2032/02/29,申請のあった取扱品目の製造に限る。
101440-01,,肉のフルタ,飲食店営業,2025/02/05,2025/03/01,2031/02/28,
101440-03,,肉のフルタ,食肉販売業,2022/02/07,2022/03/01,2028/02/29,とさつ・解体は行わないこと
101459-01,,津ノ清,飲食店営業,2023/02/07,2023/03/01,2029/02/28,
101467-20,有限会社九重味噌,有限会社九重味噌,みそ又はしょうゆ製造業,2025/02/06,2025/03/01,2031/02/28,申請のあった取扱品目の製造に限る
101502-01,,喫茶ルンルン,飲食店営業,2021/02/01,2021/03/01,2027/02/28,
101535-04,,米藤,魚介類販売業,2026/02/06,2026/03/01,2031/02/28,
101538-11,有限会社鶴里堂,大津菓子調進所　有限会社鶴里堂,菓子製造業,2026/02/12,2026/03/01,2032/02/29,申請のあった取扱品目の製造に限る。
101600-01,株式会社ＯＫＣ,滋賀銀行本店従業員食堂,飲食店営業,2021/02/24,2021/03/01,2028/02/29,
101653-01,有限会社松田魚伊商店,有限会社松田魚伊商店,飲食店営業,2021/02/24,2021/03/01,2027/02/28,そうざいは店頭販売に限る
101653-07,有限会社松田魚伊商店,有限会社松田魚伊商店,魚介類販売業,2021/02/24,2021/03/01,2027/02/28,
101653-25,有限会社松田魚伊商店,有限会社松田魚伊商店,そうざい製造業,2026/02/20,2026/03/01,2032/02/29,申請のあった取扱品目の製造に限る。
101673-01,株式会社かね吉,かね吉,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
101702-11,株式会社パレット,パレット膳所店,菓子製造業,2024/02/21,2024/03/01,2031/02/28,申請のあった取扱品目の製造に限る
101731-01,,まーさん,飲食店営業,2021/02/03,2021/03/01,2027/02/28,
101751-01,,お好み焼プカプカ,飲食店営業,2021/01/29,2021/03/01,2027/02/28,
101770-07,有限会社國領商店,國領ストアー,魚介類販売業,2021/02/03,2021/03/01,2027/02/28,
101770-17,有限会社國領商店,國領ストアー,食肉販売業,2021/02/03,2021/03/01,2027/02/28,とさつ・解体をしないこと
101806-07,,石幸,魚介類販売業,2021/02/01,2021/03/01,2027/02/28,
101806-17,,石幸,食肉販売業,2021/02/01,2021/03/01,2027/02/28,とさつ・解体をしないこと
101806-25,,石幸,そうざい製造業,2025/02/06,2025/03/01,2031/02/28,申請のあった取扱品目の製造に限る
101928-01,株式会社アヤハレークサイドホテル,アヤハレークサイドホテル,飲食店営業,2022/02/07,2022/03/01,2029/02/28,
101929-01,株式会社アヤハレークサイドホテル,アヤハレークサイドホテル喫茶コーナー,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
101971-01,有限会社禧亭,禧亭（ヒジョン）,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
101978-01,,新井,飲食店営業,2021/06/18,2021/07/01,2027/06/30,簡易な営業に限る
102004-04,,ひろせ食品,魚介類販売業,2026/06/09,2026/07/01,2032/06/30,
102013-25,株式会社いのうえ,いのうえ,そうざい製造業,2022/06/17,2022/07/01,2028/06/30,申請のあった取扱品目の製造に限る
102027-01,つる家有限会社,つる家,飲食店営業,2021/06/14,2021/07/01,2027/06/30,
102028-01,有限会社亀屋広房,亀屋広房,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
102028-11,有限会社亀屋広房,亀屋広房,菓子製造業,2022/06/10,2022/07/01,2028/06/30,申請のあった取扱品目の製造に限る
102033-11,,松田常盤堂,菓子製造業,2022/06/10,2022/07/01,2028/06/30,申請のあった取扱品目の製造に限る
102035-11,,音羽軒,菓子製造業,2025/06/17,2025/07/01,2031/06/30,申請のあった取扱品目の製造に限る。
102057-01,,竹喜,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
102118-01,株式会社ＯＫＣ,ＯＫＣ炊飯工場,飲食店営業,2021/06/15,2021/07/01,2027/06/30,
102127-01,,蘭,飲食店営業,2026/06/09,2026/07/01,2032/06/30,
102130-01,株式会社すかいらーくレストランツ,ガスト　膳所店,飲食店営業,2026/06/15,2026/07/01,2033/06/30,
102157-01,,若葉クラブ,飲食店営業,2021/06/25,2021/07/01,2027/06/30,
102226-24,有限会社八木製麺所,八木製めん所,麺類製造業,2022/06/10,2022/07/01,2028/06/30,申請のあった取扱品目の製造に限る
102227-01,,グリル喫茶　ひろむ,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
102241-01,有限会社山川商事,万福,飲食店営業,2021/06/28,2021/07/01,2027/06/30,
102241-03,有限会社山川商事,万福,食肉販売業,2024/10/31,2024/11/15,2031/06/30,とさつ・解体は行わないこと
102264-25,有限会社豆藤,豆藤石山店,そうざい製造業,2021/06/18,2021/07/01,2028/06/30,申請のあった取扱品目の製造に限る
102272-01,,カナダ,飲食店営業,2021/06/14,2021/07/01,2027/06/30,
102281-01,,食堂　こうちゃん,飲食店営業,2025/06/10,2025/07/01,2031/06/30,
102357-11,,ぱんのしろいぬ,菓子製造業,2023/06/13,2023/07/01,2029/06/30,申請のあった取扱品目の製造に限る
102374-01,,ウインク　ミラー,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
102383-01,有限会社唐橋,旅館　唐橋,飲食店営業,2026/06/12,2026/07/01,2032/06/30,
102393-01,株式会社ファイブスター,ココス瀬田唐橋店,飲食店営業,2024/06/12,2024/07/01,2031/06/30,
102397-01,,鳥忠,飲食店営業,2021/06/17,2021/07/01,2027/06/30,
102506-02,株式会社アペックス西日本,自販０３　三陽建材,調理の機能を有する自動販売機により食品を調理し、調理された食品を販売する営業,2023/02/20,2023/03/01,2028/02/29,自動販売機による営業に限る設置台数は１台に限る
102561-01,,すし樹奈里,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
102568-11,中森製菓株式会社,中森製菓株式会社,菓子製造業,2026/06/10,2026/07/01,2032/06/30,申請のあった取扱品目の製造に限る。
102581-01,,イースト,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
102599-01,株式会社菩提樹,菩提樹,飲食店営業,2021/06/15,2021/07/01,2027/06/30,
102606-01,,新月,飲食店営業,2026/06/16,2026/07/01,2032/06/30,
102612-01,有限会社小松家,有限会社小松家,飲食店営業,2026/06/15,2026/07/01,2032/06/30,
102615-01,株式会社洗心寮,淡味の膳処　洗心寮,飲食店営業,2024/06/13,2024/07/01,2031/06/30,
102619-01,,憩食堂,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
102660-01,滋賀大学生活協同組合,滋賀大学生活協同組合,飲食店営業,2026/06/11,2026/07/01,2032/06/30,
102661-01,,共弥寿し,飲食店営業,2023/06/15,2023/07/01,2029/06/30,
102667-01,有限会社鶴,玉純寿司,飲食店営業,2021/06/21,2021/07/01,2027/06/30,
102674-01,株式会社叶匠寿庵,叶匠寿庵,飲食店営業,2024/06/11,2024/07/01,2031/06/30,
102674-11,株式会社叶匠寿庵,叶匠寿庵,菓子製造業,2023/10/23,2023/10/27,2031/06/30,申請のあった取扱品目の製造に限る
102687-01,,南郷荘,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
102717-01,,カフェ＆フローラ　メープル,飲食店営業,2021/06/17,2021/07/01,2027/06/30,
102735-04,滋賀県漁業協同組合連合会,滋賀県漁業協同組合連合会　観光流通部　流通改善課,魚介類販売業,2022/06/10,2022/07/01,2029/06/30,
102735-27,滋賀県漁業協同組合連合会,滋賀県漁業協同組合連合会　観光流通部　流通改善課,冷凍食品製造業,2023/06/13,2023/07/01,2030/06/30,申請のあった取扱品目の製造に限る
102744-01,,さくら食堂,飲食店営業,2021/06/17,2021/07/01,2027/06/30,
102750-01,,志づ屋,飲食店営業,2025/06/10,2025/07/01,2031/06/30,
102767-01,,和彩　まるまた,飲食店営業,2021/06/15,2021/07/01,2027/06/30,
102771-01,,うおう商店,飲食店営業,2021/06/18,2021/07/01,2027/06/30,
102777-01,,多田商店,飲食店営業,2021/06/14,2021/07/01,2027/06/30,
102778-04,,森田商店（滋賀８００す・７９５）,魚介類販売業,2023/02/17,2023/03/01,2029/02/28,自動車による営業に限る魚介類の処理行為はしないこと
102780-01,中井観光株式会社,ジル　リバサイド,飲食店営業,2021/06/22,2021/07/01,2027/06/30,
102814-25,株式会社大重商店,大重商店,そうざい製造業,2022/06/10,2022/07/01,2028/06/30,申請のあった取扱品目の製造に限る
102830-04,株式会社魚耕,株式会社　魚耕,魚介類販売業,2022/06/10,2022/07/01,2028/06/30,
102834-04,株式会社大重商店,大重商店,魚介類販売業,2022/06/10,2022/07/01,2028/06/30,
102835-04,株式会社滋賀コモリ,滋賀コモリ,魚介類販売業,2022/06/20,2022/07/01,2028/06/30,
102837-04,大津水産株式会社,大津水産,魚介類販売業,2022/06/10,2022/07/01,2028/06/30,
102838-04,有限会社大友,大友,魚介類販売業,2022/06/10,2022/07/01,2028/06/30,
102841-05,株式会社うおいち,株式会社　うおいち　滋賀,魚介類競り売り営業,2022/06/10,2022/07/01,2028/06/30,
102873-01,,上松食堂,飲食店営業,2021/06/25,2021/07/01,2027/06/30,
102879-01,,ケーキハウストップス,飲食店営業,2022/06/14,2022/07/01,2028/06/30,
102879-11,,ケーキハウストップス,菓子製造業,2026/06/10,2026/07/01,2032/06/30,申請のあった取扱品目の製造に限る。
102917-01,,ボウシヤ,飲食店営業,2021/06/17,2021/07/01,2027/06/30,
102928-01,,カフェ・バー　ヨッコ,飲食店営業,2021/06/17,2021/07/01,2027/06/30,
102950-01,,むつごろう,飲食店営業,2021/06/14,2021/07/01,2027/06/30,
103032-01,,丸萬,飲食店営業,2025/06/09,2025/07/01,2031/06/30,
103109-01,,パブレストシンシア,飲食店営業,2021/06/17,2021/07/01,2027/06/30,
103111-01,,異麗夢,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
103139-01,,ビストロ　アルル,飲食店営業,2025/06/16,2025/07/01,2031/06/30,
103175-01,,初駒,飲食店営業,2022/06/14,2022/07/01,2028/06/30,
103177-20,,浜源醤油店,みそ又はしょうゆ製造業,2025/06/12,2025/07/01,2030/06/30,申請のあった取扱品目の製造に限る。
103184-01,,近藤珈琲,飲食店営業,2026/06/10,2026/07/01,2032/06/30,
103186-01,一冨士フードサービス株式会社,２７５事業所,飲食店営業,2024/06/13,2024/07/01,2031/06/30,
103199-01,,コーヒーとスナック　星,飲食店営業,2021/06/18,2021/07/01,2027/06/30,簡易な営業に限る
103239-01,サトフードサービス株式会社,和食さと　瀬田店,飲食店営業,2021/06/22,2021/07/01,2027/06/30,
103239-03,サトフードサービス株式会社,和食さと　瀬田店,食肉販売業,2021/10/28,2021/11/09,2028/06/30,とさつ・解体は行わないこと
103295-25,,中井商店,そうざい製造業,2021/06/18,2021/07/01,2027/06/30,申請のあった取扱品目の製造に限る
103331-01,株式会社トラスト,マクドナルド瀬田店,飲食店営業,2022/06/17,2022/07/01,2028/06/30,
103332-01,株式会社オーミランチサービス,近江鍛工株式会社内食堂,飲食店営業,2026/06/09,2026/07/01,2032/06/30,
103361-01,有限会社ゴールド,風色のビーナス,飲食店営業,2022/02/07,2022/03/01,2028/02/29,簡易な営業に限る
103362-01,鶴喜そば製菓株式会社,鶴喜そば唐崎店,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
103378-01,,ことぶき,飲食店営業,2022/02/07,2022/03/01,2027/02/28,
103400-01,,花梨,飲食店営業,2026/02/17,2026/03/01,2032/02/29,
103411-01,,活省　つじくら,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
103412-01,,よしべえ,飲食店営業,2021/01/29,2021/03/01,2027/02/28,
103417-01,一冨士フードサービス株式会社,２１２事業所,飲食店営業,2024/10/17,2024/11/01,2031/10/31,
103470-11,,金時堂,菓子製造業,2022/10/11,2022/11/01,2028/10/31,申請のあった取扱品目の製造に限る
103472-08,滋賀びわ湖漁業協同組合,堅田漁業協同組合,魚介類競り売り営業,2020/10/21,2020/11/01,2026/10/31,
103485-07,,魚善商店,魚介類販売業,2020/10/16,2020/11/01,2026/10/31,
103485-17,,魚善商店,食肉販売業,2020/10/16,2020/11/01,2026/10/31,とさつ・解体をしないこと
103485-29,,魚善商店,そうざい製造業,2020/10/16,2020/11/01,2026/10/31,申請のあった取扱品目の製造に限る
103488-01,,魚太,飲食店営業,2020/10/14,2020/11/01,2026/10/31,
103488-04,,魚太,魚介類販売業,2021/10/07,2021/11/01,2027/10/31,
103490-01,,そば處　美登路,飲食店営業,2020/10/20,2020/11/01,2026/10/31,
103490-28,,そば處　美登路,麺類製造業,2020/10/20,2020/11/01,2026/10/31,申請のあった取扱品目の製造に限る
103512-01,,金時堂,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
103532-01,株式会社王将フードサービス,餃子の王将堅田店,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
103534-01,,げんごろう,飲食店営業,2020/10/14,2020/11/01,2026/10/31,
103616-01,,茶処さわよし,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
103617-29,魚信淡水有限会社,魚信淡水有限会社,そうざい製造業,2020/10/16,2020/11/01,2026/10/31,申請のあった取扱品目の製造に限る
103617-04,魚信淡水有限会社,魚信淡水有限会社,魚介類販売業,2024/10/17,2024/11/01,2030/10/31,
103632-01,,幸湖路,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
103633-01,サトフードサービス株式会社,和食さと堅田南店,飲食店営業,2024/10/23,2024/11/01,2031/10/31,
103633-03,サトフードサービス株式会社,和食さと堅田南店,食肉販売業,2021/10/22,2021/11/01,2027/10/31,とさつ・解体は行わないこと
103638-01,,喫茶万亀,飲食店営業,2020/10/12,2020/11/01,2026/10/31,
103710-01,株式会社ビューロッジ琵琶,ビューロッジ琵琶,飲食店営業,2020/10/21,2020/11/01,2026/10/31,そうざいは店頭販売に限る
103712-01,,きよみ荘,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
103717-01,,ラ・アルベルカ,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
103720-11,鶴喜そば製菓株式会社,鶴喜そば製菓,菓子製造業,2022/10/11,2022/11/01,2028/10/31,申請のあった取扱品目の製造に限る
103720-24,鶴喜そば製菓株式会社,鶴喜そば製菓,麺類製造業,2022/10/11,2022/11/01,2028/10/31,申請のあった取扱品目の製造に限る
103722-01,,珈琲人,飲食店営業,2020/10/12,2020/11/01,2026/10/31,
103728-01,,スナック大名,飲食店営業,2021/10/07,2021/11/01,2027/10/31,
103735-01,株式会社魚石,株式会社魚石,飲食店営業,2020/10/12,2020/11/01,2026/10/31,
103735-07,株式会社魚石,株式会社魚石,魚介類販売業,2020/10/12,2020/11/01,2026/10/31,
103735-17,株式会社魚石,株式会社魚石,食肉販売業,2020/10/12,2020/11/01,2026/10/31,とさつ・解体をしないこと
103736-01,,日吉そば　小倉家,飲食店営業,2022/10/11,2022/11/01,2027/10/31,
103740-20,,大文字屋,みそ又はしょうゆ製造業,2022/10/11,2022/11/01,2027/10/31,申請のあった取扱品目の製造に限る
103745-11,株式会社西洋軒,西洋軒,菓子製造業,2021/10/07,2021/10/19,2028/10/31,申請のあった取扱品目の製造に限る
103747-01,株式会社芙蓉園,芙蓉園,飲食店営業,2020/10/12,2020/11/01,2026/10/31,
103749-01,宗教法人日吉大社,日吉大社　売店,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
103753-01,株式会社芙蓉園,芙蓉園　別館,飲食店営業,2020/10/12,2020/11/01,2026/10/31,
103782-01,,ばん茶,飲食店営業,2020/10/12,2020/11/01,2026/10/31,
103820-01,滋賀製パン株式会社,滋賀製パン株式会社,飲食店営業,2020/10/20,2020/11/01,2026/10/31,
103820-02,滋賀製パン株式会社,滋賀製パン株式会社,菓子製造業,2020/10/20,2020/11/01,2026/10/31,申請のあった取扱品目の製造に限る
103820-27,滋賀製パン株式会社,滋賀製パン株式会社,冷凍食品製造業,2021/12/06,2021/12/22,2028/10/31,申請のあった取扱品目の製造に限る
103823-01,,魚石,飲食店営業,2023/10/27,2023/11/01,2029/10/31,
103823-25,,魚石,そうざい製造業,2021/10/25,2021/11/01,2027/10/31,申請のあった取扱品目の製造に限る
103828-01,,ドライブイン　ワニ,飲食店営業,2022/10/18,2022/11/01,2028/10/31,
103829-01,,民宿　山宗,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
103840-01,,和邇浜青年会館,飲食店営業,2020/10/13,2020/11/01,2026/10/31,
103843-01,,千鳥荘,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
103844-01,,民宿　日出美荘　喫茶サンライズ,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
103850-01,,串辰,飲食店営業,2021/10/01,2021/11/01,2027/10/31,
103863-03,株式会社平和堂,平和堂和邇店,食肉販売業,2023/10/13,2023/11/01,2030/10/31,とさつ・解体は行わないこと
103877-01,株式会社阪村研究所,志賀ヨットクラブ,飲食店営業,2021/10/11,2021/11/01,2027/10/31,
103934-01,アルピナＢＩ株式会社,エキナカキッチン,飲食店営業,2022/10/18,2022/11/01,2028/10/31,
103943-01,,お食事　清林,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
103956-01,,喜多呂,飲食店営業,2021/10/11,2021/11/01,2027/10/31,
103959-04,,北川食料品店,魚介類販売業,2022/07/28,2022/08/05,2028/10/31,
104002-01,,ペパーミントハウス,飲食店営業,2020/10/14,2020/11/01,2026/10/31,
104011-01,,一休比良,飲食店営業,2024/10/17,2024/11/01,2030/10/31,簡易な営業に限る
104029-03,,杉江食料品店,食肉販売業,2021/10/07,2021/11/01,2027/10/31,とさつ・解体は行わないこと
104029-04,,杉江食料品店,魚介類販売業,2021/10/07,2021/11/01,2027/10/31,
104035-01,,ペンション　レークサイド,飲食店営業,2022/10/13,2022/11/01,2028/10/31,
104036-01,大末産業株式会社,比良レークハウス,飲食店営業,2023/10/13,2023/11/01,2030/10/31,
104036-11,大末産業株式会社,比良レークハウス,菓子製造業,2025/06/20,2025/07/09,2031/10/31,申請のあった取扱品目の製造に限る。
104061-07,,湖畔荘,魚介類販売業,2020/07/13,2020/07/22,2026/10/31,
104061-17,,湖畔荘,食肉販売業,2020/07/13,2020/07/22,2026/10/31,とさつ・解体をしないこと
104061-01,,湖畔荘,飲食店営業,2022/10/11,2022/11/01,2028/10/31,
104063-01,株式会社大塚商会,琵琶レイクオーツカ,飲食店営業,2024/10/17,2024/11/01,2031/10/31,
104064-01,株式会社大塚商会,琵琶レイクオーツカ,飲食店営業,2020/10/21,2020/11/01,2026/10/31,
104069-01,株式会社Ａｕｒｅｌｉａ,ＬＡＧＯ,飲食店営業,2020/10/27,2020/11/01,2026/10/31,
104070-01,,きくの家,飲食店営業,2021/10/22,2021/11/01,2027/10/31,
104123-25,細川食品株式会社,細川食品,そうざい製造業,2025/10/09,2025/11/01,2031/10/31,申請のあった取扱品目の製造に限る。
104124-25,,川端商店,そうざい製造業,2022/10/11,2022/11/01,2028/10/31,申請のあった取扱品目の製造に限る
104129-25,木原食品有限会社,木原食品（有）,そうざい製造業,2022/10/21,2022/11/01,2028/10/31,申請のあった取扱品目の製造に限る
104131-25,,松井網元商店,そうざい製造業,2023/10/13,2023/11/01,2028/10/31,申請のあった取扱品目の製造に限る
104145-01,有限会社神雷,神雷,飲食店営業,2021/02/12,2021/03/01,2027/02/28,
104165-25,株式会社ＯＫＣ,ＯＫＣ本社工場,そうざい製造業,2025/06/17,2025/07/01,2032/06/30,申請のあった取扱品目の製造に限る。
104235-01,,スナック友,飲食店営業,2022/02/08,2022/03/01,2028/02/29,
104237-04,有限会社松水商店,有限会社松水商店,魚介類販売業,2021/06/18,2021/07/01,2027/06/30,
104237-25,有限会社松水商店,有限会社松水商店,そうざい製造業,2026/06/12,2026/07/01,2032/06/30,申請のあった取扱品目の製造に限る。
104337-11,株式会社パレット,パレット唐崎店,菓子製造業,2023/02/07,2023/03/01,2029/02/28,申請のあった取扱品目の製造に限る
104361-01,,そば處　やま喜,飲食店営業,2023/02/07,2023/03/01,2029/02/28,
104386-01,株式会社ファイブスター,ココス堅田店,飲食店営業,2019/10/16,2019/11/01,2026/10/31,
104395-01,有限会社中国料理登煌,中国料理登煌,飲食店営業,2022/10/19,2022/11/01,2028/10/31,
104414-22,有限会社田中豆腐店,有限会社田中豆腐店,豆腐製造業,2023/10/13,2023/11/01,2030/10/31,申請のあった取扱品目の製造に限る
104430-01,,中重,飲食店営業,2021/10/11,2021/11/01,2027/10/31,
104449-01,,喫茶ケンワ,飲食店営業,2022/02/08,2022/03/01,2028/02/29,
104457-01,ケイアイ興業株式会社,ホテル　ブルーレーク大津,飲食店営業,2022/02/10,2022/03/01,2029/02/28,
104460-10,株式会社シーボーン・ジャパン,シーボーン・ジャパン,食品の冷凍又は冷蔵業,2021/03/19,2021/03/30,2029/02/28,申請のあった取扱品目の製造に限る
104460-17,株式会社シーボーン・ジャパン,シーボーン・ジャパン,食肉販売業,2021/01/29,2021/03/01,2028/02/29,とさつ・解体をしないこと
104460-04,株式会社シーボーン・ジャパン,シーボーン・ジャパン,魚介類販売業,2026/02/06,2026/03/01,2033/02/28,
104460-25,株式会社シーボーン・ジャパン,シーボーン・ジャパン,そうざい製造業,2026/02/06,2026/03/01,2033/02/28,申請のあった取扱品目の製造に限る。
104476-14,株式会社近江ミネラルウォーターサービス,近江ミネラルウォーターサービス,清涼飲料水製造業,2022/06/10,2022/07/01,2028/06/30,申請のあった取扱品目の製造に限る
104492-01,,喫茶レストラン　ａｇａｉｎ,飲食店営業,2022/02/09,2022/03/01,2028/02/29,
104498-01,,焼肉　湖岸,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
104521-01,,スナック伽羅,飲食店営業,2022/02/07,2022/03/01,2028/02/29,
104522-11,レーク滋賀農業協同組合,ＪＡレーク滋賀石山農産物加工所,菓子製造業,2022/06/10,2022/07/01,2028/06/30,申請のあった取扱品目の製造に限る
104522-20,レーク滋賀農業協同組合,ＪＡレーク滋賀石山農産物加工所,みそ又はしょうゆ製造業,2022/06/10,2022/07/01,2028/06/30,申請のあった取扱品目の製造に限る
104522-25,レーク滋賀農業協同組合,ＪＡレーク滋賀石山農産物加工所,そうざい製造業,2022/06/10,2022/07/01,2028/06/30,申請のあった取扱品目の製造に限る
104529-10,明治亭株式会社,明治亭株式会社,食品の冷凍又は冷蔵業,2021/03/25,2021/04/09,2029/02/28,申請のあった取扱品目の製造に限る
104529-03,明治亭株式会社,明治亭株式会社,食肉販売業,2022/02/07,2022/03/01,2029/02/28,とさつ・解体は行わないこと
104529-25,明治亭株式会社,明治亭株式会社,そうざい製造業,2026/02/06,2026/03/01,2032/02/29,申請のあった取扱品目の製造に限る。
104567-01,株式会社平和亭,平和亭,飲食店営業,2021/02/19,2021/03/01,2027/02/28,
104567-03,株式会社平和亭,平和亭,食肉販売業,2025/02/19,2025/02/28,2031/02/28,とさつ・解体は行わないこと
104572-01,,御座敷　うおいし,飲食店営業,2024/10/21,2024/11/01,2030/10/31,
104615-01,,利やん,飲食店営業,2026/02/16,2026/03/01,2032/02/29,
104636-01,株式会社すかいらーくレストランツ,ガスト雄琴店,飲食店営業,2025/10/17,2025/11/01,2031/10/31,
104637-01,,憩食堂＆フィドル,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
104653-01,,大倉たこやき店,飲食店営業,2022/06/10,2022/07/01,2028/06/30,
104672-01,,珍竹林パートⅢ,飲食店営業,2026/02/13,2026/03/01,2032/02/29,
104676-01,,與八郎,飲食店営業,2026/06/16,2026/07/01,2032/06/30,
104697-01,,マタリ,飲食店営業,2026/02/09,2026/03/01,2032/02/29,
104700-01,株式会社すかいらーくレストランツ,ガスト　堅田店,飲食店営業,2025/10/16,2025/11/01,2031/10/31,
104717-03,魚重産業株式会社,魚重産業株式会社,食肉販売業,2023/02/07,2023/03/01,2030/02/28,とさつ・解体は行わないこと
104717-04,魚重産業株式会社,魚重産業株式会社,魚介類販売業,2023/02/07,2023/03/01,2030/02/28,
104717-25,魚重産業株式会社,魚重産業株式会社,そうざい製造業,2023/02/07,2023/03/01,2030/02/28,申請のあった取扱品目の製造に限る
